name,current_website,current_phone,current_email,current_address,contracts,scope,status,step1_url_owner,step2_real_url,step3_services,step4_email,step4_phone,step4_contact,verdict,notes
Next Stage A Way Forward,https://nextstageawf.co.uk/,+44 1925 651405,,,2,Regional,pending,,,,,,,,
Next Step Independence Ltd,http://www.nextstepindependence.co.uk/,,info@nextstepindependence.co.uk,,1,Local,pending,,,,,,,,
Nexus Fostering Limited,https://www.nexusfostering.co.uk/office-locations/london-harrow,+44 800 389 0143,,,2,Local,pending,,,,,,,,
No contract awarded,https://www.thecontractorsadmin.co.uk/,+44 7983 158105,enquiries@thecontractorsadmin.co.uk,,2,Local,pending,,,,,,,,
North East Disabilities Resource Centre,http://www.ndrc.org.uk/,+44 191 565 9206,info@ndrc.org.uk,,1,Local,pending,,,,,,,,
North East Lincolnshire Women's Aid,https://www.womensaidnel.org/,+44 1472 575757,support@womensaidnel.org,,1,Local,pending,,,,,,,,
North East Specialist Therapeutic Services CIC,https://www.icha.org.uk/location/north-east-specialist-therapeutic-services,,info@icha.org.uk,,1,Local,pending,,,,,,,,
North East Supported Tenancies (NEST),https://www.nestcare.uk/,,karliseeds@nestcare.uk,,1,Local,pending,,,,,,,,
Northern Community Pathway Childrens Residential Services Ltd,https://www.ncpl.co.uk/,,info@ncpl.co.uk,,1,Local,pending,,,,,,,,
Norwood,https://norwood.org.uk/,,info@norwood.org.uk,,1,Local,pending,,,,,,,,
Nottinghamshire YMCA,http://www.nottsymca.com/,+44 115 837 1871,,,1,Local,pending,,,,,,,,
Nudawn Housing and Support Services Ltd,http://nudawnhousing.com/,+44 20 3693 3914,info@nudawnhousing.com,,2,Local,pending,,,,,,,,
Oasis Care UK Group Ltd,https://www.oasiscareukgroup.com/,+44 1332 505988,,,1,Local,pending,,,,,,,,
Oasis Supported Accommodation Ltd,http://www.oasiscareservices.org/,+44 1702 555055,info@oasiscareservices.org,,2,Local,pending,,,,,,,,
One Housing Group (Lot 4 - Progress Service Low to Medium Suppor,https://www.riverside.org.uk/one-housing-group/,+44 20 7987 2447,,,1,Local,pending,,,,,,,,
One Housing Group (Lot 5 - Young Parent High Support Service),http://www.onehousing.co.uk/,+44 300 123 9966,,,1,Local,pending,,,,,,,,
One Step Care Limited,http://www.onestepcare.co.uk/,+44 191 917 9228,info@onestepcare.co.uk,,1,Local,pending,,,,,,,,
Onward Path Care,https://www.onward.co.uk/,,,,1,Local,pending,,,,,,,,
Open Door Stoke-On-Trent,https://dukdoors.co.uk/,+44 1782 703234,info@dukdoors.co.uk,,1,Local,pending,,,,,,,,
Optima,http://www.optimahealth.co.uk/,+44 1327 810797,,,1,Local,pending,,,,,,,,
Optima Care,https://optimacarehomes.co.uk/,,,,3,Regional,pending,,,,,,,,
Optimas Solutions Limited,http://optimas.com/,+44 1452 880500,info@optimas.com,,2,Local,pending,,,,,,,,
Options Autism (1) Limited,https://www.optionsautism.co.uk/,+44 1204 956899,,,1,Local,pending,,,,,,,,
Options Autism (5) Limited,http://optionscare.uk/,+44 7896 345149,kim@optionscare.uk,,1,Local,pending,,,,,,,,
Orange Grove Fostercare Ltd,https://www.orangegrovefostercare.co.uk/,+44 1256 880114,,,2,Local,pending,,,,,,,,
Orchard Care,http://www.orchardhomecareservices.co.uk/,+44 191 389 0072,info@orchardhomecareservices.co.uk,,1,Local,pending,,,,,,,,
Orchid Assisted Living,http://www.carehomesgroup.com/,+44 1793 753336,,,1,Local,pending,,,,,,,,
Orchid Supported Living Ltd,http://orchidsl.co.uk/,+44 121 769 1215,info@orchidsl.co.uk,,1,Local,pending,,,,,,,,
Origin Housing Ltd,http://www.originhousing.org.uk/,+44 300 323 0325,,,1,Local,pending,,,,,,,,
Orion Care Solutions Limited,https://www.orionhealthcare.co.uk/,,enquiries@orionhealthcare.co.uk,,1,Local,pending,,,,,,,,
Ormerod Home Trust,http://www.theormerod.co.uk/,+44 1282 423255,,,1,Local,pending,,,,,,,,
Osei Minkah Care Ltd.,https://www.oseiminkahcare.com/,+44 1902 914752,,,1,Local,pending,,,,,,,,
Outcomes Focused Support Services Ltd,https://outcomecareandsupport.co.uk/,+44 7496 189679,,,1,Local,pending,,,,,,,,
Outsets Care Services,http://www.outsetfostering.co.uk/,+44 20 4526 5267,,,1,Local,pending,,,,,,,,
Outward Housing (Trading as Outward),https://www.outward.org.uk/,+44 20 8980 7101,info@outward.org.uk,,1,Local,pending,,,,,,,,
Oxygen housing,https://oxygenprojects.co.uk/,+44 7396 769123,,,1,Local,pending,,,,,,,,
P.a.c.e,https://certasenergy.co.uk/my-business/fuel-stations/pace/,+44 1728 602071,,,1,Local,pending,,,,,,,,
P.A.T.H. (Plymouth Access To Housing) Limited,http://www.pathdevon.org/,+44 1752 255889,info@pathdevon.org,,1,Local,pending,,,,,,,,
PAS Housing Assocation,https://www.pahousing.co.uk/,+44 300 123 2221,,,1,Local,pending,,,,,,,,
Pathfinder Care Services,https://www.pathfinderscareservices.org/,,,,1,Local,pending,,,,,,,,
PH4L,https://www.ph4l.co.uk/,+44 1752 317408,enquiries@ph4l.co.uk,,1,Local,pending,,,,,,,,
PJL Healthcare Limited,http://www.pjlhealthcare.co.uk/,+44 1825 890493,info@pjlhealthcare.co.uk,,1,Local,pending,,,,,,,,
Plus,https://www.plus.net/,+44 1290 422754,,,1,Local,pending,,,,,,,,
Positive Culture Limited,http://www.positiveculture.org/,+44 845 527 1009,speaking@positiveculture.org,,1,Local,pending,,,,,,,,
Premier Healthcare Services. Limited,http://www.premierhealthcarehelensburgh.co.uk/,+44 345 521 1819,hello@premiere-healthcare.co.uk,,2,Regional,pending,,,,,,,,
Provision Living Ltd,https://www.provisionliving.com/,+44 116 319 2212,pr@sanctuary.co.uk,,2,Local,pending,,,,,,,,
PSA Care Ltd,http://psacare.co.uk/,,,,3,Local,pending,,,,,,,,
Pangea Support Services,https://www.pangeasupport.com/,+44 7544 777112,info@pangeasupport.com,,1,Local,pending,,,,,,,,
Parallel,https://parallel.org.uk/,+44 7456 709997,,,1,Local,pending,,,,,,,,
Parallel Parents Ltd,http://parallelcare.co.uk/,+44 1823 326010,,,2,Local,pending,,,,,,,,
The Park Lodge Project,https://www.parklodgeproject.org/,+44 116 270 7319,adminclerk@parklodgeproject.org,,7,Regional,pending,,,,,,,,
Parkview Care (Broadstairs) Limited,https://parkviewcare.co.uk/,+44 1273 823310,info@parkviewcare.co.uk,,2,Local,pending,,,,,,,,
Pathway Support UK LTD,http://www.pathwayssupport.co.uk/,+44 121 233 4188,ask@pathwayssupport.co.uk,,1,Local,pending,,,,,,,,
Pathway forward,https://pathway-careers.com/,+44 28 9002 7714,hello@pathway-careers.com,,1,Local,pending,,,,,,,,
Pathways Care Group Limited - Salutem Shared Services Limited,https://www.salutemcareandeducation.co.uk/,+44 1753 255777,,,2,Local,pending,,,,,,,,
Pathways To Independence Housing UK (PTI UK),https://www.pathwaystoindependence.org.uk/,+44 1273 776166,info@pathwaystoindependence.org.uk,,1,Local,pending,,,,,,,,
Paws for Kids,https://www.ncdv.org.uk/agencies/paws-for-kids-endeavour-project/,+44 1204 394842,info@endeavourproject.org.uk,,1,Local,pending,,,,,,,,
Peabody South East Limited,https://www.peabody.org.uk/,,,,1,Local,pending,,,,,,,,
Pebbles Care,http://pebblescare.com/,+44 330 170 0111,recruitment@pebblescare.com,,1,Local,pending,,,,,,,,
Pell Frischmann Consultants Ltd,http://www.pellfrischmann.com/,+44 20 7486 3661,contact@pellfrischmann.com,,1,Local,pending,,,,,,,,
Pennine West Citizens Advice Bureau,http://www.tamesidecab.org.uk/,+44 808 278 7805,,,1,Local,pending,,,,,,,,
People Potential Possibilities T/AP3,https://www.p3charity.org/?utm_source=google-maps&utm_medium=organic,+44 808 168 2443,info@p3charity.org,,1,Local,pending,,,,,,,,
People Potential Possibilties t/a P3,https://www.p3charity.org/?utm_source=google-maps&utm_medium=organic,+44 115 850 8190,info@p3charity.org,,1,Local,pending,,,,,,,,
"People, Potential, Possibilities (trading as P3)",http://www.p3charity.org/,+44 1453 750480,info@p3charity.org,,1,Local,pending,,,,,,,,
PeopleToo,https://www.peopletoo.co.uk/,+44 115 824 0040,info@peopletoo.co.uk,,1,Local,pending,,,,,,,,
Peter Bedford Housing Association,https://www.peterbedford.org.uk/,+44 20 3815 4100,admin.email@peterbedford.org.uk,,1,Local,pending,,,,,,,,
Pharos Care Ltd,https://www.midwaycaregroup.co.uk/About-Midway-Care-Group/,+44 7854 988105,,,2,Regional,pending,,,,,,,,
Pharos Support Limited (Midway Care Group),https://www.midwaycaregroup.co.uk/,+44 121 706 9902,,,1,Local,pending,,,,,,,,
Phi Capital Investments Ltd,https://phicapital.in/,+44 20 7889 3080,phi@phicapital.in,,1,Local,pending,,,,,,,,
Places for People,https://www.placesforpeople.co.uk/new-homes/find-a-new-home/peninsula-view/,+44 1305 700049,recruitment@placesforpeople.co.uk,,1,Local,pending,,,,,,,,
Plans4Rehab Ltd T/A Barclay House,http://www.plans4rehab.com/,+44 116 255 3039,info@plans4rehab.com,,1,Local,pending,,,,,,,,
Plus Dane Housing Ltd.,https://www.plusdane.co.uk/,+44 800 169 2988,customer@plusdane.co.uk,,1,Local,pending,,,,,,,,
Pool House,http://www.pool-house.co.uk/,+44 1445 781272,tours@pool-house.co.uk,,1,Local,pending,,,,,,,,
Positive Youth Foundation,http://www.positiveyouthfoundation.org/,+44 24 7615 8550,info@positiveyouthfoundation.org,,1,Local,pending,,,,,,,,
Potential Ltd Trading as Potens,http://potens-uk.com/location/achieve-with-us/,+44 1455 890494,info@potens-uk.com,,2,Local,pending,,,,,,,,
Practice Plus Group Health and Rehabilitation Services Limited.,https://www.practiceplusgroup.com/,+44 330 165 9986,headoffice@practiceplusgroup.com,,1,Local,pending,,,,,,,,
Prayngel Healthcare Limited,http://www.prayngel.co.uk/,+44 330 390 9535,,,1,Local,pending,,,,,,,,
Precise Care Solutions Limited,https://precisecare.uk/,+44 1642 307108,,,1,Local,pending,,,,,,,,
Premier Care Management Ltd,https://premiercaremanagement.co.uk/,+44 117 967 2020,hayley@premiercaremanagement.co.uk,,1,Local,pending,,,,,,,,
Prestige,http://www.prestigehairandbeauty.co.uk/,+44 20 8667 0066,,,1,Local,pending,,,,,,,,
Prestige Accommodation Ltd,http://www.prestigeaccommodation.co.uk/,,info@prestigeaccommodation.co.uk,,1,Local,pending,,,,,,,,
Prevention and Recovery Care and Support (PARCS) Ltd,https://www.pscaresupport.co.uk/,+44 333 360 6035,hello@pscareandsupport.co.uk,,1,Local,pending,,,,,,,,
Prime Life Ltd,https://prime-life.co.uk/,+44 116 270 5678,info@prime-life.co.uk,,1,Local,pending,,,,,,,,
Priority Plus Care Ltd,https://prioritypluscare.com/,+44 1438 553105,info@prioritypluscare.com,,4,Local,pending,,,,,,,,
Prioritycare (shropshire)Ltd,http://www.prioritycare.co.uk/,+44 1952 253052,info@prioritycare.co.uk,,1,Local,pending,,,,,,,,
Priory Adult Care - Lansdowne Road Limited,https://www.priorygroup.com/locations/residential/lansdowne-road?utm_source=google_my_business&utm_medium=organic&utm_campaign=residential&utm_content=priory-lansdowne-road,+44 116 283 4025,,,1,Local,pending,,,,,,,,
Priory Adult Care - Parkcare Homes (No.2) Limited,https://www.prioryparkcare.co.uk/,+44 1772 742248,admin@prioryparkcare.co.uk,,1,Local,pending,,,,,,,,
Priory Group,https://www.priorygroup.com/,0330 056 6020,info@priorygroup.com,,2,Local,pending,,,,,,,,
Procare Quality Services Limited,http://www.procare-ltd.co.uk/,+44 1942 206004,sales@procare-ltd.co.uk,,3,Local,pending,,,,,,,,
Progress Children's Services,http://www.progresscare.co.uk/,+44 1902 561066,,,1,Local,pending,,,,,,,,
Progress Housing Association Limited,http://www.progressgroup.org.uk/,+44 333 320 4555,,,1,Local,pending,,,,,,,,
Progressive Care,https://www.progressivecare.co.uk/,+44 114 280 0200,,,2,Local,pending,,,,,,,,
Project Support Bubble,https://www.psbubble.co.uk/,+44 800 440 2100,itsupport@babble.cloud,,1,Local,pending,,,,,,,,
Providence Row Housing Association,http://www.prha.net/,+44 20 7920 7300,info@prha.net,,1,Local,pending,,,,,,,,
Purple Oak Support,https://purpleoaksupport.org/,+44 1264 321840,enquiries@purpleoaksupport.org,,1,Local,pending,,,,,,,,
Quality 24 Care Limited,https://qualitycareltd.com/,+44 7901 791859,info@qualitycareltd.com,,1,Local,pending,,,,,,,,
Quaywest Housing,https://quaywestgroup.co.uk,01926 800 800,info@quaywestgroup.co.uk,,4,Regional,pending,,,,,,,,
Queen's Hall Action on Poverty,http://www.thebrick.org.uk/,+44 1942 318004,enquiries@thebrick.org.uk,,1,Local,pending,,,,,,,,
Quinata UK Limited,http://www.quinataglobal.com/,+44 20 7048 6040,,,1,Local,pending,,,,,,,,
Redcar and Cleveland Voluntary Development Agency,https://www.rcvda.org.uk/,+44 1642 440571,enquiries@rcvda.org.uk,,1,Local,pending,,,,,,,,
ROC Home Limited,https://www.rocgroup.org.uk/,+44 1325 310009,info@rocgroup.org.uk,,1,Local,pending,,,,,,,,
ROC Transitions Limited,https://www.rocgroup.org.uk/transitions,+44 1325 310009,info@rocgroup.org.uk,,1,Local,pending,,,,,,,,
Radiantlife Care,http://radiantlifeconsultancy.co.uk/,+44 20 3318 0473,,,4,Local,pending,,,,,,,,
Raglan Housing Association,https://www.stonewater.org/about-us/the-history-of-stonewater/,+44 1202 733820,corporate.communications@stonewater.org,,1,Local,pending,,,,,,,,
Ramora Ltd,http://www.ramora.co.uk/,+44 1543 481679,,,1,Local,pending,,,,,,,,
Redec Ltd,http://redecindustrial.com/,+44 1708 700522,sales@redecindustrial.com,,1,Local,pending,,,,,,,,
Refuge,https://refuge.org.uk/,02073957700,esther_edmund@refuge.org.uk,,3,Local,pending,,,,,,,,
Refugee Women Connect,https://www.refugeewomenconnect.org.uk/,+44 151 305 1070,info@refugeewomenconnect.org.uk,,1,Local,pending,,,,,,,,
Rehoboth Supported Services Ltd,https://rehobothsupportedserv.co.uk/about-us/,+44 800 321 3904,info@rehobothsupportedserv.co.uk,,1,Local,pending,,,,,,,,
Residential Group,https://www.residentialgroup.org/,,,,1,Local,pending,,,,,,,,
Resolute Care LTD,https://resolutecaregroup.com/,+44 1482 390407,HULL@RESOLUTECAREGROUP.COM,,2,Local,pending,,,,,,,,
Rethink Mental Illness Ltd,https://www.rethink.org/,+44 121 522 7007,info@rethink.org,,2,Regional,pending,,,,,,,,
Revolve Therapy and Training,https://www.revolve-leadership.com/,+44 870 850 8931,hello@revolve-leadership.com,,1,Local,pending,,,,,,,,
Richesther Semi Independent Living Ltd,http://www.richestherhomes.org/,+44 20 3983 9006,esther@richestherhomes.org,,1,Local,pending,,,,,,,,
Ridgeview Supported Living Ltd,https://ridgeviewsupportedliving.co.uk/,+44 7575 714245,info@ridgeviewsupportedliving.co.uk,,1,Local,pending,,,,,,,,
Ridley Recycling Ltd T/A Peter Ridley Waste Systems,http://www.peterridley.co.uk/,+44 1728 660755,,,6,Regional,pending,,,,,,,,
Right Choice Service Limited,https://rchoicecare.co.uk/,+44 1992 850277,info@rchoicecare.co.uk,,1,Local,pending,,,,,,,,
Right Step Limited (RSL),https://www.rightsteps.co.uk/,+44 1254 922313,,,1,Local,pending,,,,,,,,
Right to Care Ltd,http://www.righttocare.co.uk/,,,,1,Local,pending,,,,,,,,
Right-Trak Ltd,http://right-trak.com/,+44 191 580 1265,,,1,Local,pending,,,,,,,,
Rise Above Care Limited,http://www.riseabovecare.co.uk/,+44 1302 810471,info@riseabovecare.co.uk,,2,Local,pending,,,,,,,,
Rite Directions Children & Young Peoples Services,https://www.ritedirections.co.uk,01723 515562,askcyps@bristol.gov.uk,,1,Local,pending,,,,,,,,
Riverside Housing,https://www.riverside.org.uk/,+44 345 111 0000,,,1,Local,pending,,,,,,,,
Roland Hill Ltd,https://www.rolandhills.co.uk/,+44 16973 20483,office@rolandhills.co.uk,,1,Local,pending,,,,,,,,
Roomzzz,https://www.roomzzz.com/aparthotels/newcastle?utm_source=GMB%20Roomzzz%20Newcastle&utm_medium=GMB%20Roomzzz%20Newcastle&utm_campaign=GMB%20Roomzzz%20Newcastle,+44 191 261 2839,newcastle@roomzzz.com,,1,Local,pending,,,,,,,,
Rose of Sharon Care Services Ltd,https://birmingham.connecttosupport.org/search/marketplace-search/?productId=5e14a2ce-591b-4d22-989a-a89300ad7e2c&supplierId=62e27721-68fb-4272-8a72-a89300a7b818&bcgId=fcea1611-2a26-4a1d-a4a6-b480f7423e14,+44 121 667 9991,,,1,Local,pending,,,,,,,,
Roseleigh Day Care,http://roseleighdaycare.co.uk/,+44 7530 858205,,,6,Regional,pending,,,,,,,,
Royal National Institute for Deaf People T/A Action on Hearing L,https://rnid.org.uk/,+44 808 808 0123,,,1,Local,pending,,,,,,,,
Royal National Mencap Society,http://www.mencap.org.uk/,+44 20 7454 0454,infoni@mencap.org.uk,,1,Local,pending,,,,,,,,
RubiLiving,https://www.rubiliving.co.uk/,+44 333 772 1219,info@rubiliving.co.uk,,1,Local,pending,,,,,,,,
Rushcliffe Care Limited - Epinal Way Care,https://www.rushcliffecare.co.uk/,+44 1509 212666,,,1,Local,pending,,,,,,,,
S P Homes Ltd,http://www.spmhomes.co.uk/,+44 1242 870027,,,1,Local,pending,,,,,,,,
SADA Domestic Abuse Service,http://friendsofsada.co.uk/,+44 1438 242666,,,1,Local,pending,,,,,,,,
Shires Support Services Ltd,https://www.myshires.co.uk/contact-us/,+44 116 291 5895,,,2,Local,pending,,,,,,,,
SHP Single Homeless Project,http://www.shp.org.uk/,+44 20 4509 8300,info@shp.org.uk,,1,Local,pending,,,,,,,,
SIFA Fireside,https://sifafireside.co.uk/,+44 121 766 1700,office@sifafireside.co.uk,,1,Local,pending,,,,,,,,
Smart Cjs,https://smartcjs.org.uk/,+44 1234 344133,prebend@smartcjs.org.uk,,1,Local,pending,,,,,,,,
SOAR Community,http://www.soarcommunity.org.uk/,+44 114 213 4065,enquiries@soarcommunity.org.uk,,1,Local,pending,,,,,,,,
SOS,https://www.sossales.co.uk/,+44 28 3752 8989,,,1,Local,pending,,,,,,,,
Spectrum Housing Group Ltd,http://www.spectrumhousing.org/,+44 1773 304996,info@spectrumhousing.org,,1,Local,pending,,,,,,,,
Sportfit Shortbreak Care Limited,https://www.sportfiteducation.com/,+44 23 8178 5191,enquiries@sportfitsupport.co.uk,,2,Regional,pending,,,,,,,,
SSL102 Limited (Sweethope Supported Living),https://hopesupport.org.uk/,+44 1989 566317,help@hopesupport.org.uk,,1,Local,pending,,,,,,,,
SSL102 Limited (Sweethope Supported Lodgings),https://hopesupport.org.uk/,+44 1989 566317,help@hopesupport.org.uk,,1,Local,pending,,,,,,,,
Step4Ward Services,https://step4wd.co.uk,01843 220 944,info@step4wd.co.uk,,2,Local,pending,,,,,,,,
Strawberry Fields Training Cic,https://strawberryfieldscic.co.uk/,+44 1524 874246,,,1,Local,pending,,,,,,,,
Swot Care Ltd,http://swotcareltd.com/,+44 7963 319314,,,1,Local,pending,,,,,,,,
Safe Haven Accomodation,https://www.safehavenaccommodation.co.uk/,+44 1495 271012,info@safehavenaccommodation.co.uk,,1,Local,pending,,,,,,,,
Safe Haven Services LTD,https://safehavenservices.co.uk/,+44 20 8316 4222,info@safehavenservices.co.uk,,1,Local,pending,,,,,,,,
SafeNet Domestic Abuse and Support Services Ltd,http://safenet.org.uk/,+44 300 303 3581,contact@safenet.org.uk,,1,Local,pending,,,,,,,,
Safehands Services Ltd,https://www.safehandshealthcare.co.uk/,+44 1952 263990,info@safehandsrecruitment.co.uk,,1,Local,pending,,,,,,,,
Sageville Health Care,http://www.sagevillehealthcare.com/,+44 121 437 4114,info@sagevillehealthcare.com,,1,Local,pending,,,,,,,,
Salaam Care,http://salamcharity.org.uk/,+44 20 8090 4090,salam@salamcharity.org.uk,,1,Local,pending,,,,,,,,
Salisbury Support 4 Autism Ltd,http://www.ss4autism.com/,+44 800 368 9433,Info@ss4autism.com,,1,Local,pending,,,,,,,,
Salutem,https://salutemcareandeducation.co.uk/,+44 1753 255777,enquiries@salutemsharedservices.co.uk,,1,Local,pending,,,,,,,,
Salutem - Pathways,https://salutemcareandeducation.co.uk/centre/plymouth-day-opportunities/?utm_source=Google&utm_medium=Yext,+44 1752 221002,enquiries@salutemsharedservices.co.uk,,1,Local,pending,,,,,,,,
Salutem LD BidCo IV Limited t/a Ambito Care and Education (Clear,https://salutemcareandeducation.co.uk/about-us/,+44 1209 717728,enquiries@salutemsharedservices.co.uk,,1,Local,pending,,,,,,,,
Salutem Shared Services Limited,https://www.salutemcareandeducation.co.uk/,+44 7947 803855,,,2,Local,pending,,,,,,,,
"Salutem Shared Services Limited, for care provision by Clearwate",https://salutemcareandeducation.co.uk/centre/cornwall-community-services/?utm_source=Google&utm_medium=Yext,+44 7969 897682,enquiries@salutemsharedservices.co.uk,,1,Local,pending,,,,,,,,
"Salutem Shared Services Limited, for care provision by Pathways",https://salutem.ai/,+44 20 8090 4502,sales@salutem.ai,,1,Local,pending,,,,,,,,
"Salutem Shared Services Limited, for care provision by Salutem L",http://www.salutem.co.uk/,+44 121 326 1450,info@salutem.co.uk,,1,Local,pending,,,,,,,,
Salvero Healthcare T/A Acacia Lodge,https://www.averyhealthcare.co.uk/care-homes/manchester-greater/moston/acacia-lodge/,+44 161 688 1890,,,1,Local,pending,,,,,,,,
Sanctuary Ltd,https://scotland.sanctuary.co.uk/,+44 808 168 3475,,,1,Local,pending,,,,,,,,
Sanctuary Supported Living (registered name Sanctuary Housing As,https://www.sanctuary-supported-living.co.uk/,+44 1243 837169,pr@sanctuary.co.uk,,1,Local,pending,,,,,,,,
Sandant Care Limited,http://www.sandantcare.co.uk/,+44 121 448 5010,info@sandantcare.co.uk,,1,Local,pending,,,,,,,,
Scenario Management,https://www.smcare.co.uk/,+44 1253 727773,info@smcare.co.uk,,1,Local,pending,,,,,,,,
Scope Care Ltd,http://scopecareservices.co.uk/,+44 1947 602358,helpline@scope.org.uk,,1,Local,pending,,,,,,,,
Second Step,https://www.second-step.co.uk/,+44 345 165 7699,,,1,Local,pending,,,,,,,,
Secure Steps Services Ltd,http://securestepforward.com/,+44 20 3930 0467,,,1,Local,pending,,,,,,,,
Sekhon Group,https://www.sekhongroup.co.uk/,+44 1274 744462,info@sekhongroup.co.uk,,1,Local,pending,,,,,,,,
Selbourne Care Ltd (Care tech),https://www.caretech-uk.com/what-we-do/selborne-care/,+44 121 515 3990,info@caretech-uk.com,,1,Local,pending,,,,,,,,
Select Care Solutions Ltd,http://www.selectcareservices.co.uk/contact.html,,,,2,Local,pending,,,,,,,,
Select Support Partnerships Ltd,https://www.selectsupportpartnerships.com/,+44 151 448 2850,enquiries@selectsupportpartnerships.com,,2,Local,pending,,,,,,,,
Self Help Community Housing Association,https://www.selfhelpha.co.uk/,+44 117 970 5400,housing@selfhelpha.co.uk,,1,Local,pending,,,,,,,,
Semi Independent Housing,https://www.semi-independent-house.net/,+44 161 477 8290,,,1,Local,pending,,,,,,,,
Serco Leisure,https://www.serco.com/uk/sector-expertise/citizen-services/leisure-services,+44 116 240 7500,,,1,Local,pending,,,,,,,,
Serco,https://www.serco.com,01256 745900,enquiries@serco.com,,4,Local,pending,,,,,,,,
Serenefy.Co.Uk,https://www.serenefy.co.uk/,+44 7833 136710,contact@serenefy.co.uk,,1,Local,pending,,,,,,,,
Serviced Living Liverpool,http://www.servicedlivingliverpool.com/,+44 151 374 2401,info@servicedlivingliverpool.com,,1,Local,pending,,,,,,,,
Servis Personnel,http://www.servispersonnel.com/,+44 115 671 3555,hello@servisPersonnel.com,,1,Local,pending,,,,,,,,
shamah support healthcare ltd,https://shammahhealthcare.co.uk/,+44 7572 960729,contact@shammahhealthcare.co.uk,,2,Local,pending,,,,,,,,
Shap Ltd,http://www.shap.org.uk/,+44 1744 454056,cbu@shap.org.uk,,1,Local,pending,,,,,,,,
Shaw Healthcare (Group) Ltd,http://www.shaw.co.uk/,+44 29 2036 4411,info@shaw.co.uk,,1,Local,pending,,,,,,,,
Sheffield Young Women's Christian Association,https://www.ywcayorkshire.org.uk/charity-shop,+44 114 245 4046,beverly.garbett@ywcayorkshire.org.uk,,1,Local,pending,,,,,,,,
Sheffield Young Womens Christian Association t/a  YWCA Yorkshire,https://www.ywcayorkshire.org.uk/sheffield,,beverly.garbett@ywcayorkshire.org.uk,,1,Local,pending,,,,,,,,
Shelter,http://england.shelter.org.uk/support_us/shops/erdington?utm_source=Googleplus&utm_medium=Social&utm_content=Erdington&utm_campaign=Retail_furniture,+44 121 386 5055,info@shelter.org.uk,,1,Local,pending,,,,,,,,
Shelter Resources Limited,https://www.shelter.org.uk/,+44 330 133 5452,info@shelter.org.uk,,1,Local,pending,,,,,,,,
"Shelter, The National Campaign For  Homeless People Ltd",https://www.shelter.org.uk/,03003301234,info@shelter.org.uk,,1,Local,pending,,,,,,,,
Shield Support Hub Ltd,http://www.healthshield.co.uk/,+44 1270 588555,,,1,Local,pending,,,,,,,,
Shropshire Housing Limited,http://www.shropshire-homes.com/,+44 1743 761789,sales@shropshire-homes.com,,1,Local,pending,,,,,,,,
Sillywater Ltd T/A Caremark Arun,https://www.caremark.co.uk/arun/,+44 1243 680122,redcar@caremark.co.uk,,2,Local,pending,,,,,,,,
Sirius Demolition Ltd,http://www.thesiriusgroup.com/,+44 113 264 9960,chris.cooke@thesiriusgroup.com,,1,Local,pending,,,,,,,,
Sisters Care Services Limited,http://www.sisterscareservices.co.uk/,+44 121 257 4370,admin@sisterscareservices.co.uk,,1,Local,pending,,,,,,,,
Sky B 24 7 Ltd,https://www.sky.com/,+44 1582 420420,info@skyairporttransfer.com,,2,Local,pending,,,,,,,,
Smile Foster Care Limited T/A Smile Care Services,http://smileycareservices.com/,+44 7882 962595,,,1,Local,pending,,,,,,,,
Social & Community Care Ltd,https://www.communitycare.co.uk/,+44 1282 459884,,,1,Local,pending,,,,,,,,
Social Care Services Group,http://thesocialcare.uk/,+44 161 442 2122,adminsupport@scsltd.org,,1,Local,pending,,,,,,,,
Solo Housing (East Anglia Ltd),https://www.solohousing.org/,+44 1379 640250,hello@solohousing.org,,1,Local,pending,,,,,,,,
Southdown Housing Association Limited,https://www.southdown.org/,+44 1323 340151,info@southdown.org,,3,Local,pending,,,,,,,,
Southern Domestic Abuse Service,https://stopdomesticabuse.uk/,+44 330 053 3630,info@stopdomesticabuse.uk,,1,Local,pending,,,,,,,,
Southside Partnership,https://southsidepartnership.ie/,+44 20 8772 6222,info@certitude.london,,2,Local,pending,,,,,,,,
Southside Partnership t/a Certitude,https://certitude.london,020 8772 6222,info@certitude.london,,2,Local,pending,,,,,,,,
Special Needs Care Limited,https://www.specialneedscare.co.uk/,+44 1244 784434,office@specialneedscare.co.uk,,1,Local,pending,,,,,,,,
Specialist Care Team Ltd,http://www.specialistcareteam.co.uk/,+44 1524 401200,,,1,Local,pending,,,,,,,,
Spectra First Limited,https://spectraconnect.co.uk/,+44 800 077 3557,hello@spectraconnect.co.uk,,1,Local,pending,,,,,,,,
Spring Healthcare Limited,https://springhealthcareltd.co.uk/,+44 1204 565620,,,1,Local,pending,,,,,,,,
Spring Housing Association Ltd,http://www.springhousing.org.uk/,+44 121 663 1443,info@springhousing.org.uk,,1,Local,pending,,,,,,,,
Springvale Lodge,https://www.springvalecare.com/,,info@springvalecare.com,,1,Local,pending,,,,,,,,
St Andrew's Healthcare,http://www.stah.org/,+44 1604 616000,recruitment@stah.org,,1,Local,pending,,,,,,,,
St Christopher's Fellowship (Lot 2 - Assessment and Progres,http://www.stchris.org.uk/,+44 20 8780 7800,,,1,Local,pending,,,,,,,,
St Christophers Trust,http://stchristophersmat.org/,+44 7593 578639,tim.amy@btinternet.com,,1,Local,pending,,,,,,,,
